simulation,G1,G2,correlation,distance
2,0.2000,0.3000,0.132125,0.235451
2,0.2000,0.4000,0.136737,0.235337
2,0.2000,0.5000,0.110324,0.234004
2,0.2000,0.6000,0.194878,0.229696
2,0.2000,0.7000,0.185067,0.227706
2,0.2000,0.8000,0.173822,0.228822
2,0.2000,0.9000,0.263731,0.223751
2,0.2000,1.0000,0.274113,0.220515
2,0.2000,2.0000,0.323268,0.219221
2,0.2000,3.0000,0.347057,0.217498
2,0.2000,4.0000,0.373070,0.212200
2,0.2000,5.0000,0.323567,0.219497
2,0.2000,10.0000,0.324395,0.244552
2,0.2000,15.0000,0.422754,0.210488
2,0.2000,20.0000,0.354014,0.224150
2,0.2000,25.0000,0.392441,0.225429
2,0.2000,30.0000,0.392849,0.229299
2,0.3000,0.1000,0.137247,0.232153
2,0.3000,0.2000,0.143896,0.230617
2,0.3000,0.3000,0.209598,0.227798
2,0.3000,0.4000,0.154722,0.232584
2,0.3000,0.5000,0.215511,0.219853
2,0.3000,0.6000,0.232564,0.220441
2,0.3000,0.7000,0.253373,0.224472
2,0.3000,0.8000,0.251044,0.218891
2,0.3000,0.9000,0.287996,0.216357
2,0.3000,1.0000,0.210644,0.221501
2,0.3000,2.0000,0.322222,0.219416
2,0.3000,3.0000,0.369470,0.217083
2,0.3000,4.0000,0.350361,0.214951
2,0.3000,5.0000,0.425492,0.203943
2,0.3000,10.0000,0.326971,0.252805
2,0.3000,15.0000,0.434358,0.229449
2,0.3000,20.0000,0.408445,0.225653
2,0.3000,25.0000,0.381511,0.235776
2,0.3000,30.0000,0.293651,0.247238
2,0.4000,0.1000,0.169112,0.227195
2,0.4000,0.2000,0.174074,0.226622
2,0.4000,0.3000,0.251819,0.220204
2,0.4000,0.4000,0.195964,0.224848
2,0.4000,0.5000,0.235806,0.220572
2,0.4000,0.6000,0.246627,0.216575
2,0.4000,0.7000,0.292235,0.218417
2,0.4000,0.8000,0.312814,0.215162
2,0.4000,0.9000,0.224284,0.219791
2,0.4000,1.0000,0.342717,0.208627
2,0.4000,2.0000,0.361385,0.211040
2,0.4000,3.0000,0.362473,0.213264
2,0.4000,4.0000,0.423369,0.207249
2,0.4000,5.0000,0.376290,0.211589
2,0.4000,10.0000,0.414199,0.217731
2,0.4000,15.0000,0.386673,0.231143
2,0.4000,20.0000,0.464940,0.240310
2,0.4000,25.0000,0.281149,0.261582
2,0.4000,30.0000,0.321795,0.244376
2,0.5000,0.1000,0.246230,0.221242
2,0.5000,0.2000,0.213959,0.220508
2,0.5000,0.3000,0.244048,0.217982
2,0.5000,0.4000,0.279199,0.211950
2,0.5000,0.5000,0.258247,0.207605
2,0.5000,0.6000,0.326280,0.210092
2,0.5000,0.7000,0.247696,0.215942
2,0.5000,0.8000,0.325176,0.198600
2,0.5000,0.9000,0.278528,0.209854
2,0.5000,1.0000,0.244840,0.219421
2,0.5000,2.0000,0.317090,0.201976
2,0.5000,3.0000,0.377327,0.208274
2,0.5000,4.0000,0.439360,0.207919
2,0.5000,5.0000,0.410240,0.213915
2,0.5000,10.0000,0.364760,0.241067
2,0.5000,15.0000,0.346054,0.260587
2,0.5000,20.0000,0.302808,0.235829
2,0.5000,25.0000,0.399241,0.227119
2,0.5000,30.0000,0.389663,0.228777
2,0.6000,0.1000,0.237955,0.215243
2,0.6000,0.2000,0.260835,0.216472
2,0.6000,0.3000,0.276440,0.208857
2,0.6000,0.4000,0.279731,0.213070
2,0.6000,0.5000,0.285785,0.211925
2,0.6000,0.6000,0.289484,0.195174
2,0.6000,0.7000,0.303742,0.203634
2,0.6000,0.8000,0.230514,0.219894
2,0.6000,0.9000,0.256882,0.221114
2,0.6000,1.0000,0.363980,0.199795
2,0.6000,2.0000,0.291464,0.206807
2,0.6000,3.0000,0.419595,0.202890
2,0.6000,4.0000,0.408963,0.222966
2,0.6000,5.0000,0.429488,0.217988
2,0.6000,10.0000,0.387282,0.241881
2,0.6000,15.0000,0.377937,0.214546
2,0.6000,20.0000,0.452870,0.205460
2,0.6000,25.0000,0.386309,0.226047
2,0.6000,30.0000,0.306658,0.249740
2,0.7000,0.1000,0.251704,0.212006
2,0.7000,0.2000,0.279063,0.210181
2,0.7000,0.3000,0.277742,0.206446
2,0.7000,0.4000,0.230087,0.208571
2,0.7000,0.5000,0.239655,0.215661
2,0.7000,0.6000,0.284755,0.200226
2,0.7000,0.7000,0.305964,0.198748
2,0.7000,0.8000,0.264198,0.212098
2,0.7000,0.9000,0.268175,0.226798
2,0.7000,1.0000,0.362239,0.199528
2,0.7000,2.0000,0.423471,0.196580
2,0.7000,3.0000,0.419504,0.208479
2,0.7000,4.0000,0.424545,0.202229
2,0.7000,5.0000,0.387443,0.206521
2,0.7000,10.0000,0.387892,0.235253
2,0.7000,15.0000,0.435568,0.224273
2,0.7000,20.0000,0.338872,0.233806
2,0.7000,25.0000,0.411458,0.217612
2,0.7000,30.0000,0.399078,0.260707
2,0.8000,0.1000,0.214811,0.222171
2,0.8000,0.2000,0.217764,0.213050
2,0.8000,0.3000,0.276193,0.216322
2,0.8000,0.4000,0.243888,0.208668
2,0.8000,0.5000,0.228964,0.214736
2,0.8000,0.6000,0.243814,0.211805
2,0.8000,0.7000,0.299821,0.222797
2,0.8000,0.8000,0.292888,0.213229
2,0.8000,0.9000,0.296187,0.211843
2,0.8000,1.0000,0.350569,0.213596
2,0.8000,2.0000,0.392113,0.205240
2,0.8000,3.0000,0.378265,0.208462
2,0.8000,4.0000,0.299232,0.226782
2,0.8000,5.0000,0.352749,0.221648
2,0.8000,10.0000,0.373809,0.237028
2,0.8000,15.0000,0.455182,0.210313
2,0.8000,20.0000,0.377055,0.226924
2,0.8000,25.0000,0.391010,0.234552
2,0.8000,30.0000,0.356730,0.236373
2,0.9000,0.1000,0.230794,0.219365
2,0.9000,0.2000,0.257924,0.209384
2,0.9000,0.3000,0.274908,0.219109
2,0.9000,0.4000,0.250424,0.221428
2,0.9000,0.5000,0.244262,0.210192
2,0.9000,0.6000,0.269696,0.211011
2,0.9000,0.7000,0.306780,0.214263
2,0.9000,0.8000,0.305551,0.209229
2,0.9000,0.9000,0.315219,0.207927
2,0.9000,1.0000,0.276427,0.227945
2,0.9000,2.0000,0.354789,0.222300
2,0.9000,3.0000,0.441093,0.209001
2,0.9000,4.0000,0.324878,0.222545
2,0.9000,5.0000,0.387162,0.223055
2,0.9000,10.0000,0.391194,0.242461
2,0.9000,15.0000,0.369909,0.216757
2,0.9000,20.0000,0.377660,0.223979
2,0.9000,25.0000,0.346896,0.227565
2,0.9000,30.0000,0.392860,0.228326
2,1.0000,0.1000,0.242867,0.229321
2,1.0000,0.2000,0.279262,0.205924
2,1.0000,0.3000,0.200533,0.221725
2,1.0000,0.4000,0.309602,0.207760
2,1.0000,0.5000,0.289152,0.216139
2,1.0000,0.6000,0.241167,0.214993
2,1.0000,0.7000,0.304123,0.209425
2,1.0000,0.8000,0.329260,0.211585
2,1.0000,0.9000,0.334558,0.196062
2,1.0000,1.0000,0.337338,0.215215
2,1.0000,2.0000,0.408900,0.199680
2,1.0000,3.0000,0.335643,0.224133
2,1.0000,4.0000,0.327713,0.225863
2,1.0000,5.0000,0.330218,0.229406
2,1.0000,10.0000,0.437183,0.236452
2,1.0000,15.0000,0.382219,0.258636
2,1.0000,20.0000,0.382243,0.211785
2,1.0000,25.0000,0.358156,0.229772
2,1.0000,30.0000,0.362213,0.232778
2,2.0000,0.1000,0.162967,0.252158
2,2.0000,0.2000,0.223574,0.228774
2,2.0000,0.3000,0.202232,0.231767
2,2.0000,0.4000,0.233820,0.227858
2,2.0000,0.5000,0.203834,0.233261
2,2.0000,0.6000,0.171848,0.332917
2,2.0000,0.7000,0.218358,0.235192
2,2.0000,0.8000,0.231839,0.226175
2,2.0000,0.9000,0.222063,0.240333
2,2.0000,1.0000,0.239913,0.246745
2,2.0000,2.0000,0.122490,0.317036
2,2.0000,3.0000,0.166788,0.300267
2,2.0000,4.0000,0.179529,0.287315
2,2.0000,5.0000,0.304240,0.244013
2,2.0000,10.0000,0.410098,0.240152
2,2.0000,15.0000,0.395738,0.225035
2,2.0000,20.0000,0.426510,0.239731
2,2.0000,25.0000,0.299289,0.266036
2,2.0000,30.0000,0.300122,0.264158
2,3.0000,0.1000,0.163741,0.311410
2,3.0000,0.2000,0.110256,0.373460
2,3.0000,0.3000,0.136836,0.360178
2,3.0000,0.4000,0.155091,0.324772
2,3.0000,0.5000,0.170891,0.300407
2,3.0000,0.6000,0.144094,0.319152
2,3.0000,0.7000,0.170761,0.266094
2,3.0000,0.8000,0.174999,0.359310
2,3.0000,0.9000,0.162991,0.308935
2,3.0000,1.0000,0.195657,0.326854
2,3.0000,2.0000,0.154834,0.374824
2,3.0000,3.0000,0.147682,0.389234
2,3.0000,4.0000,0.245358,0.319359
2,3.0000,5.0000,0.164905,0.400320
2,3.0000,10.0000,0.317795,0.311551
2,3.0000,15.0000,0.242431,0.318226
2,3.0000,20.0000,0.336910,0.288542
2,3.0000,25.0000,0.362134,0.266263
2,3.0000,30.0000,0.346570,0.262805
2,4.0000,0.1000,0.116078,0.370137
2,4.0000,0.2000,0.133496,0.389722
2,4.0000,0.3000,0.150706,0.356885
2,4.0000,0.4000,0.122926,0.379107
2,4.0000,0.5000,0.149867,0.371905
2,4.0000,0.6000,0.116333,0.446709
2,4.0000,0.7000,0.147525,0.366909
2,4.0000,0.8000,0.165924,0.359293
2,4.0000,0.9000,0.152783,0.450502
2,4.0000,1.0000,0.126298,0.388661
2,4.0000,2.0000,0.242834,0.393418
2,4.0000,3.0000,0.193555,0.489362
2,4.0000,4.0000,0.189931,0.411826
2,4.0000,5.0000,0.146218,0.377877
2,4.0000,10.0000,0.271090,0.417804
2,4.0000,15.0000,0.159589,0.489394
2,4.0000,20.0000,0.247894,0.350758
2,4.0000,25.0000,0.244016,0.326558
2,4.0000,30.0000,0.245420,0.339734
2,5.0000,0.1000,0.120586,0.441903
2,5.0000,0.2000,0.146981,0.384661
2,5.0000,0.3000,0.098533,0.436001
2,5.0000,0.4000,0.110107,0.422377
2,5.0000,0.5000,0.114681,0.418806
2,5.0000,0.6000,0.121377,0.371196
2,5.0000,0.7000,0.149924,0.407961
2,5.0000,0.8000,0.110986,0.413752
2,5.0000,0.9000,0.182650,0.304479
2,5.0000,1.0000,0.131189,0.402278
2,5.0000,2.0000,0.229675,0.401187
2,5.0000,3.0000,0.197256,0.426354
2,5.0000,4.0000,0.192938,0.415545
2,5.0000,5.0000,0.094759,0.554281
2,5.0000,10.0000,0.121113,0.502687
2,5.0000,15.0000,0.193973,0.427273
2,5.0000,20.0000,0.171014,0.469272
2,5.0000,25.0000,0.242076,0.397823
2,5.0000,30.0000,0.311122,0.310071
2,10.0000,0.1000,0.126993,0.425288
2,10.0000,0.2000,0.151130,0.394322
2,10.0000,0.3000,0.111708,0.471533
2,10.0000,0.4000,0.111452,0.434765
2,10.0000,0.5000,0.124961,0.412248
