simulation,G1,G2,correlation,distance
1,25.0000,0.9000,0.080319,0.547963
1,25.0000,1.0000,0.032517,0.557097
1,25.0000,2.0000,0.067580,0.543956
1,25.0000,3.0000,-0.016328,0.689929
1,25.0000,4.0000,-0.048416,0.746174
1,25.0000,5.0000,-0.045581,0.730500
1,25.0000,10.0000,-0.049998,0.757002
1,25.0000,15.0000,0.072798,0.794113
1,25.0000,20.0000,-0.060529,0.779643
1,25.0000,25.0000,-0.054334,0.743637
1,25.0000,30.0000,-0.049722,0.773121
1,30.0000,0.1000,0.078990,0.562893
1,30.0000,0.2000,0.079522,0.549449
1,30.0000,0.3000,0.077473,0.571227
1,30.0000,0.4000,0.079857,0.522965
1,30.0000,0.5000,0.078505,0.568341
1,30.0000,0.6000,0.077028,0.559479
1,30.0000,0.7000,0.075381,0.565877
1,30.0000,0.8000,0.079206,0.560316
1,30.0000,0.9000,0.074784,0.564944
1,30.0000,1.0000,0.078342,0.554709
1,30.0000,2.0000,0.086761,0.600764
1,30.0000,3.0000,-0.023902,0.645432
1,30.0000,4.0000,0.028438,0.620875
1,30.0000,5.0000,-0.004770,0.651800
1,30.0000,10.0000,-0.014185,0.725611
1,30.0000,15.0000,-0.059655,0.756118
1,30.0000,20.0000,-0.062415,0.781149
1,30.0000,25.0000,0.091915,0.794639
1,30.0000,30.0000,-0.098771,0.793368
2,0.1000,0.1000,0.003315,0.273104
2,0.1000,0.2000,0.027162,0.272791
2,0.1000,0.3000,0.052914,0.271595
2,0.1000,0.4000,0.092151,0.269016
2,0.1000,0.5000,0.096996,0.267632
2,0.1000,0.6000,0.138365,0.266310
2,0.1000,0.7000,0.158798,0.266349
2,0.1000,0.8000,0.177129,0.263086
2,0.1000,0.9000,0.191023,0.263669
2,0.1000,1.0000,0.185832,0.264294
2,0.1000,2.0000,0.272880,0.254653
2,0.1000,3.0000,0.290210,0.255678
2,0.1000,4.0000,0.289448,0.253102
2,0.1000,5.0000,0.379326,0.256642
2,0.1000,10.0000,0.350752,0.260738
2,0.1000,15.0000,0.230902,0.263080
